model,scenario,region,variable,unit,year,value,Category,Ssp_family
IMAGE 3.0,CO_GPP,EU28,Production|Steel,Mt/yr,2050,188.8898849487305,C5,2.0
REMIND-MAgPIE 2.1-4.2,NGFS2_Delayed Transition,EU28,Production|Steel,Mt/yr,2050,84.6833,C3,2.0
IMAGE 3.2,SSP2_SPA2_26I_RE,EU28,Production|Steel,Mt/yr,2050,168.6166000366211,C3,2.0
IMAGE 3.2,SSP2_SPA2_26I_LI,EU28,Production|Steel,Mt/yr,2050,137.30030632019043,C3,2.0
REMIND-MAgPIE 2.1-4.3,DeepElec_SSP2_ HighRE_Budg900,EU28,Production|Steel,Mt/yr,2050,84.6833,C1,2.0
IMAGE 3.2,SSP2_SPA2_34I_LIRE,EU28,Production|Steel,Mt/yr,2050,168.6165885925293,C5,2.0
GCAM 5.3,NGFS2_Nationally Determined Contributions (NDCs),EU28,Production|Steel,Mt/yr,2050,156.02755,C5,2.0
GCAM 5.3,NGFS2_Divergent Net Zero Policies,EU28,Production|Steel,Mt/yr,2050,154.06852,C2,2.0
IMAGE 3.0,EN_INDCi2030_800f,EU28,Production|Steel,Mt/yr,2050,188.8898849487305,C3,2.0
IMAGE 3.0,EN_NPi2020_800,EU28,Production|Steel,Mt/yr,2050,188.8898849487305,C3,2.0
IMAGE 3.0,EN_NPi2020_1000f,EU28,Production|Steel,Mt/yr,2050,188.8898849487305,C3,2.0
IMAGE 3.0,EN_NPi2020_600f,EU28,Production|Steel,Mt/yr,2050,188.8898849487305,C3,2.0
IMAGE 3.2,SSP2_SPA2_26I_D,EU28,Production|Steel,Mt/yr,2050,168.6166000366211,C3,2.0
IMAGE 3.2,SSP2_SPA2_34I_LI,EU28,Production|Steel,Mt/yr,2050,137.30030632019043,C5,2.0
COFFEE 1.1,CO_GPP,EU28,Production|Steel,Mt/yr,2050,152.7,C5,2.0
IMAGE 3.0,CO_2Deg2020,EU28,Production|Steel,Mt/yr,2050,188.8898849487305,C3,2.0
IMAGE 3.0,EN_NPi2020_800f,EU28,Production|Steel,Mt/yr,2050,188.8898849487305,C3,2.0
GCAM 5.3,NGFS2_Net-Zero 2050,EU28,Production|Steel,Mt/yr,2050,154.69978999999998,C2,2.0
IMAGE 3.2,SSP2_SPA0_26I_D,EU28,Production|Steel,Mt/yr,2050,181.7845230102539,C3,2.0
IMAGE 3.2,SSP2_SPA1_19I_RE_LB,EU28,Production|Steel,Mt/yr,2050,168.61660003662112,C1,2.0
REMIND-MAgPIE 2.1-4.2,NGFS2_Nationally Determined Contributions (NDCs),EU28,Production|Steel,Mt/yr,2050,94.6434,C5,2.0
IMAGE 3.2,SSP2_SPA2_19I_LIRE,EU28,Production|Steel,Mt/yr,2050,168.6165885925293,C2,2.0
REMIND-MAgPIE 2.1-4.3,DeepElec_SSP2_def_Budg900,EU28,Production|Steel,Mt/yr,2050,84.6833,C1,2.0
IMAGE 3.2,SSP2_SPA2_34I_D,EU28,Production|Steel,Mt/yr,2050,168.6166000366211,C5,2.0
REMIND-MAgPIE 2.1-4.2,NGFS2_Divergent Net Zero Policies,EU28,Production|Steel,Mt/yr,2050,86.0026,C1,2.0
REMIND-MAgPIE 2.1-4.3,DeepElec_SSP2_def_Budg1100,EU28,Production|Steel,Mt/yr,2050,84.6833,C2,2.0
IMAGE 3.2,SSP2_SPA1_19I_LIRE_LB,EU28,Production|Steel,Mt/yr,2050,137.30030632019043,C1,2.0
IMAGE 3.0,CO_2Deg2030,EU28,Production|Steel,Mt/yr,2050,188.8898849487305,C3,2.0
IMAGE 3.2,SSP2_SPA2_26I_LIRE,EU28,Production|Steel,Mt/yr,2050,137.30030632019043,C3,2.0
REMIND-MAgPIE 2.1-4.3,DeepElec_SSP2_ HighRE_Budg1100,EU28,Production|Steel,Mt/yr,2050,84.6833,C3,2.0
REMIND-MAgPIE 2.1-4.3,DeepElec_SSP2_def_Budg1300,EU28,Production|Steel,Mt/yr,2050,87.0138,C3,2.0
REMIND-MAgPIE 2.1-4.3,DeepElec_SSP2_ HighRE_Budg1300,EU28,Production|Steel,Mt/yr,2050,85.6072,C3,2.0
IMAGE 3.0,EN_NPi2020_1000,EU28,Production|Steel,Mt/yr,2050,188.8898849487305,C3,2.0
IMAGE 3.0,EN_INDCi2030_1400,EU28,Production|Steel,Mt/yr,2050,188.8898849487305,C5,2.0
IMAGE 3.2,SSP2_SPA1_19I_D_LB,EU28,Production|Steel,Mt/yr,2050,168.61658859252933,C1,2.0
IMAGE 3.2,SSP2_SPA2_34I_RE,EU28,Production|Steel,Mt/yr,2050,168.6165885925293,C5,2.0
IMAGE 3.0,CO_Bridge,EU28,Production|Steel,Mt/yr,2050,188.8898849487305,C3,2.0
COFFEE 1.1,CO_Bridge,EU28,Production|Steel,Mt/yr,2050,152.7,C3,2.0
IMAGE 3.2,SSP2_SPA2_19I_LI,EU28,Production|Steel,Mt/yr,2050,137.30030632019043,C1,2.0
IMAGE 3.2,SSP2_SPA2_19I_D,EU28,Production|Steel,Mt/yr,2050,168.6166000366211,C2,2.0
IMAGE 3.2,SSP2_SPA2_19I_RE,EU28,Production|Steel,Mt/yr,2050,168.6166000366211,C2,2.0
