model,scenario,region,variable,unit,year,value
IEA,(Missing),EU28,Secondary Energy|Electricity,EJ/yr,2000,10.820574
IEA,(Missing),EU28,Secondary Energy|Electricity,EJ/yr,2001,11.1232548
IEA,(Missing),EU28,Secondary Energy|Electricity,EJ/yr,2002,11.1962052
IEA,(Missing),EU28,Secondary Energy|Electricity,EJ/yr,2003,11.5319268
IEA,(Missing),EU28,Secondary Energy|Electricity,EJ/yr,2004,11.7675144
IEA,(Missing),EU28,Secondary Energy|Electricity,EJ/yr,2005,11.8435428
IEA,(Missing),EU28,Secondary Energy|Electricity,EJ/yr,2006,12.0092652
IEA,(Missing),EU28,Secondary Energy|Electricity,EJ/yr,2007,12.0642372
IEA,(Missing),EU28,Secondary Energy|Electricity,EJ/yr,2008,12.0807612
IEA,(Missing),EU28,Secondary Energy|Electricity,EJ/yr,2009,11.492485199999999
IEA,(Missing),EU28,Secondary Energy|Electricity,EJ/yr,2010,12.008451599999999
IEA,(Missing),EU28,Secondary Energy|Electricity,EJ/yr,2011,11.814609599999999
IEA,(Missing),EU28,Secondary Energy|Electricity,EJ/yr,2012,11.781108
IEA,(Missing),EU28,Secondary Energy|Electricity,EJ/yr,2013,11.692328400000001
IEA,(Missing),EU28,Secondary Energy|Electricity,EJ/yr,2014,11.404828799999999
IEA,(Missing),EU28,Secondary Energy|Electricity,EJ/yr,2015,11.5785396
IEA,(Missing),EU28,Secondary Energy|Electricity,EJ/yr,2016,11.654017199999998
IEA,(Missing),EU28,Secondary Energy|Electricity,EJ/yr,2017,11.764134
IEA,(Missing),EU28,Secondary Energy|Electricity,EJ/yr,2018,11.690330399999999
IEA,(Missing),EU28,Secondary Energy|Electricity,EJ/yr,2019,11.533996799999999
IEA,(Missing),EU28,Secondary Energy|Electricity,EJ/yr,2020,11.0432808
IEA,(Missing),EU28,Secondary Energy|Electricity,EJ/yr,2021,11.488222799999999
